GeographySummary	GeographyVariant	GeographyNation	GeographyState	2017 NAICS code	Employment size of establishments code	Year	Number of establishments
040	0000	US	17	31-33	235	2017	833
040	0000	US	17	31-33	240	2017	383
040	0000	US	17	31-33	500	2017	114
040	0000	US	18	31-33	1	2017	8064
040	0000	US	18	31-33	100	2017	7984
040	0000	US	18	31-33	210	2017	2868
040	0000	US	18	31-33	215	2017	941
040	0000	US	18	31-33	220	2017	1017
040	0000	US	18	31-33	225	2017	1295
040	0000	US	18	31-33	230	2017	789
040	0000	US	18	31-33	235	2017	673
040	0000	US	18	31-33	240	2017	401
040	0000	US	18	31-33	500	2017	80
040	0000	US	19	31-33	1	2017	3489
040	0000	US	19	31-33	100	2017	3429
040	0000	US	19	31-33	210	2017	1374
040	0000	US	19	31-33	215	2017	394
040	0000	US	19	31-33	220	2017	440
040	0000	US	19	31-33	225	2017	503
040	0000	US	19	31-33	230	2017	290
040	0000	US	19	31-33	235	2017	252
040	0000	US	19	31-33	240	2017	176
040	0000	US	19	31-33	500	2017	60
040	0000	US	20	31-33	1	2017	2760
040	0000	US	20	31-33	100	2017	2736
040	0000	US	20	31-33	210	2017	1061
040	0000	US	20	31-33	215	2017	350
040	0000	US	20	31-33	220	2017	353
040	0000	US	20	31-33	225	2017	435
040	0000	US	20	31-33	230	2017	237
040	0000	US	20	31-33	235	2017	192
040	0000	US	20	31-33	240	2017	108
040	0000	US	20	31-33	500	2017	24
040	0000	US	21	31-33	1	2017	3699
040	0000	US	21	31-33	100	2017	3624
040	0000	US	21	31-33	210	2017	1349
040	0000	US	21	31-33	215	2017	422
040	0000	US	21	31-33	220	2017	464
040	0000	US	21	31-33	225	2017	514
040	0000	US	21	31-33	230	2017	346
040	0000	US	21	31-33	235	2017	310
040	0000	US	21	31-33	240	2017	219
040	0000	US	21	31-33	500	2017	75
040	0000	US	22	31-33	1	2017	3190
040	0000	US	22	31-33	100	2017	3157
040	0000	US	22	31-33	210	2017	1337
040	0000	US	22	31-33	215	2017	449
040	0000	US	22	31-33	220	2017	449
040	0000	US	22	31-33	225	2017	437
040	0000	US	22	31-33	230	2017	212
040	0000	US	22	31-33	235	2017	175
040	0000	US	22	31-33	240	2017	98
040	0000	US	22	31-33	500	2017	33
040	0000	US	23	31-33	1	2017	1691
040	0000	US	23	31-33	100	2017	1670
040	0000	US	23	31-33	210	2017	869
040	0000	US	23	31-33	215	2017	242
040	0000	US	23	31-33	220	2017	188
040	0000	US	23	31-33	225	2017	174
040	0000	US	23	31-33	230	2017	98
040	0000	US	23	31-33	235	2017	62
040	0000	US	23	31-33	240	2017	37
040	0000	US	23	31-33	500	2017	21
040	0000	US	24	31-33	1	2017	2967
040	0000	US	24	31-33	100	2017	2922
040	0000	US	24	31-33	210	2017	1367
040	0000	US	24	31-33	215	2017	404
040	0000	US	24	31-33	220	2017	384
040	0000	US	24	31-33	225	2017	371
040	0000	US	24	31-33	230	2017	189
040	0000	US	24	31-33	235	2017	144
040	0000	US	24	31-33	240	2017	63
040	0000	US	24	31-33	500	2017	45
040	0000	US	25	31-33	1	2017	6437
040	0000	US	25	31-33	100	2017	6372
040	0000	US	25	31-33	210	2017	2686
040	0000	US	25	31-33	215	2017	863
040	0000	US	25	31-33	220	2017	828
040	0000	US	25	31-33	225	2017	1008
040	0000	US	25	31-33	230	2017	486
040	0000	US	25	31-33	235	2017	347
040	0000	US	25	31-33	240	2017	154
040	0000	US	25	31-33	500	2017	65
040	0000	US	26	31-33	1	2017	12418
040	0000	US	26	31-33	100	2017	12301
040	0000	US	26	31-33	210	2017	4889
040	0000	US	26	31-33	215	2017	1508
040	0000	US	26	31-33	220	2017	1668
040	0000	US	26	31-33	225	2017	1896
040	0000	US	26	31-33	230	2017	1043
040	0000	US	26	31-33	235	2017	857
040	0000	US	26	31-33	240	2017	440
040	0000	US	26	31-33	500	2017	117
040	0000	US	27	31-33	1	2017	7198
040	0000	US	27	31-33	100	2017	7099
040	0000	US	27	31-33	210	2017	3071
040	0000	US	27	31-33	215	2017	796
040	0000	US	27	31-33	220	2017	925
040	0000	US	27	31-33	225	2017	1065
040	0000	US	27	31-33	230	2017	560
040	0000	US	27	31-33	235	2017	439
040	0000	US	27	31-33	240	2017	243
040	0000	US	27	31-33	500	2017	99
040	0000	US	28	31-33	1	2017	2142
040	0000	US	28	31-33	100	2017	2120
040	0000	US	28	31-33	210	2017	863
040	0000	US	28	31-33	215	2017	237
040	0000	US	28	31-33	220	2017	237
040	0000	US	28	31-33	225	2017	297
040	0000	US	28	31-33	230	2017	195
040	0000	US	28	31-33	235	2017	191
040	0000	US	28	31-33	240	2017	100
040	0000	US	28	31-33	500	2017	22
040	0000	US	29	31-33	1	2017	5797
040	0000	US	29	31-33	100	2017	5745
040	0000	US	29	31-33	210	2017	2597
040	0000	US	29	31-33	215	2017	678
040	0000	US	29	31-33	220	2017	726
040	0000	US	29	31-33	225	2017	790
040	0000	US	29	31-33	230	2017	400
040	0000	US	29	31-33	235	2017	354
040	0000	US	29	31-33	240	2017	200
040	0000	US	29	31-33	500	2017	52
040	0000	US	30	31-33	1	2017	1328
040	0000	US	30	31-33	100	2017	1307
040	0000	US	30	31-33	210	2017	740
040	0000	US	30	31-33	215	2017	197
040	0000	US	30	31-33	220	2017	171
040	0000	US	30	31-33	225	2017	126
040	0000	US	30	31-33	230	2017	37
040	0000	US	30	31-33	235	2017	31
040	0000	US	30	31-33	240	2017	5
040	0000	US	30	31-33	500	2017	21
040	0000	US	31	31-33	1	2017	1760
040	0000	US	31	31-33	100	2017	1747
040	0000	US	31	31-33	210	2017	748
040	0000	US	31	31-33	215	2017	217
040	0000	US	31	31-33	220	2017	207
040	0000	US	31	31-33	225	2017	259
